,,temp_daily_max,pressure_daily_max,humidity_daily_max,wind_speed_daily_max,rain_1h_daily_max,rain_3h_daily_max,snow_3h_daily_max,clouds_all_daily_max
date,city_name,,,,,,,,
2015-01-16,Barcelona,17.200000000000045,1011,90,5,0.3,0.0,0.0,92
2015-01-16,Bilbao,7.532687500000009,1019,96,3,3.0,0.0,0.0,92
2015-01-16,Madrid,8.049343750000048,1009,99,7,0.9,0.0,0.0,92
2015-01-16,Seville,13.307687500000043,1030,99,7,0.9,0.0,0.0,92
2015-01-16,Valencia,13.900000000000034,1018,68,30,0.0,0.0,0.0,76
2015-01-17,Barcelona,14.410000000000025,1017,70,5,0.3,0.0,0.0,44
2015-01-17,Bilbao,6.251687500000003,1022,94,2,3.0,0.0,0.0,92
2015-01-17,Madrid,7.4080000000000155,963,93,3,0.0,0.0,0.0,32
2015-01-17,Seville,11.658000000000015,1035,95,3,0.0,0.0,0.0,36
2015-01-17,Valencia,13.600000000000023,1022,69,12,0.0,0.0,0.0,0
2015-01-18,Barcelona,13.300000000000011,1017,76,5,0.3,0.0,0.0,92
2015-01-18,Bilbao,8.82000000000005,1017,98,3,3.0,0.0,0.0,92
2015-01-18,Madrid,3.160000000000025,958,100,4,0.3,0.0,0.0,92
2015-01-18,Seville,11.706000000000017,1029,99,10,0.9,0.0,0.0,92
2015-01-18,Valencia,11.100000000000023,1021,91,9,0.3,0.0,0.0,92
2015-01-19,Barcelona,12.900000000000034,1008,93,6,3.0,0.0,0.0,92
2015-01-19,Bilbao,5.238687500000026,1014,98,4,3.0,0.0,0.0,92
2015-01-19,Madrid,5.670000000000016,1015,98,8,0.3,0.0,0.0,92
2015-01-19,Seville,10.94500000000005,1024,96,8,0.3,0.0,0.0,20
2015-01-19,Valencia,8.598000000000013,1011,95,9,0.3,0.0,0.0,92
2015-01-20,Barcelona,11.900000000000034,1006,73,3,0.3,0.0,0.0,92
2015-01-20,Bilbao,5.038312500000018,1013,97,2,0.9,0.1,0.625,92
2015-01-20,Madrid,6.718000000000018,981,91,3,0.0,0.0,0.0,88
2015-01-20,Seville,9.149000000000115,1024,100,3,0.9,0.0,0.0,92
2015-01-20,Valencia,9.900000000000034,1011,81,11,0.0,0.0,0.0,76
2015-01-21,Barcelona,11.710000000000036,1010,100,4,0.0,0.0,0.0,88
2015-01-21,Bilbao,5.411687500000028,1010,97,3,3.0,0.0,0.5,92
2015-01-21,Madrid,7.168000000000006,983,90,6,0.3,0.0,0.0,92
2015-01-21,Seville,12.413000000000011,1026,98,7,0.9,0.0,0.0,92
2015-01-21,Valencia,10.64200000000011,1010,84,14,0.0,0.0,0.0,88
2015-01-22,Barcelona,12.200000000000045,1011,60,7,0.3,0.0,0.0,76
2015-01-22,Bilbao,5.685312500000009,1021,97,3,3.0,0.0,2.7,92
2015-01-22,Madrid,8.206000000000017,988,89,7,0.3,0.0,0.0,80
2015-01-22,Seville,13.91900000000004,1030,91,6,0.0,0.0,0.0,0
2015-01-22,Valencia,11.600000000000023,1016,69,19,0.3,0.0,0.0,92
2015-01-23,Barcelona,16.600000000000023,1014,69,4,0.0,0.0,0.0,4
2015-01-23,Bilbao,6.220000000000027,1029,92,2,3.0,0.0,2.625,92
2015-01-23,Madrid,8.659000000000049,991,86,4,0.0,0.0,0.0,80
2015-01-23,Seville,14.172000000000025,1034,89,2,0.0,0.0,0.0,76
2015-01-23,Valencia,13.100000000000023,1020,69,9,0.0,0.0,0.0,0
2015-01-24,Barcelona,14.800000000000011,1017,71,4,0.0,0.0,0.0,12
2015-01-24,Bilbao,8.447000000000003,1033,96,2,0.3,0.0,0.0,92
2015-01-24,Madrid,8.941000000000031,967,75,3,0.0,0.0,0.0,0
2015-01-24,Seville,13.41500000000002,1036,90,6,0.0,0.0,0.0,34
2015-01-24,Valencia,15.600000000000023,1024,72,22,0.0,0.0,0.0,0
2015-01-25,Barcelona,15.110000000000014,1020,40,11,0.0,0.0,0.0,0
2015-01-25,Bilbao,5.550000000000011,1034,96,2,0.3,0.0,0.0,92
2015-01-25,Madrid,9.934000000000026,1007,82,4,0.0,0.0,0.0,0
2015-01-25,Seville,14.234000000000037,1036,85,6,0.0,0.0,0.0,0
2015-01-25,Valencia,16.5,1025,55,12,0.0,0.0,0.0,0
2015-01-26,Barcelona,11.700000000000045,1025,59,3,0.0,0.0,0.0,80
2015-01-26,Bilbao,7.132000000000005,1033,96,1,0.3,0.0,0.0,90
2015-01-26,Madrid,10.786000000000001,997,78,1,0.0,0.0,0.0,56
2015-01-26,Seville,15.998000000000047,1037,83,3,0.0,0.0,0.0,12
2015-01-26,Valencia,14.300000000000011,1027,77,8,0.0,0.0,0.0,36
2015-01-27,Barcelona,13.100000000000023,1025,67,2,0.0,0.0,0.0,80
2015-01-27,Bilbao,7.5883437500000355,1032,97,2,0.9,0.0,0.0,92
2015-01-27,Madrid,12.04200000000003,1030,96,3,0.0,0.0,0.0,0
2015-01-27,Seville,16.293000000000006,1036,86,4,0.0,0.0,0.0,12
2015-01-27,Valencia,17.30000000000001,1027,95,11,0.0,0.0,0.0,92
2015-01-28,Barcelona,12.410000000000025,1019,79,3,0.3,0.0,0.0,56
2015-01-28,Bilbao,9.447656250000023,1030,95,3,0.9,0.1,0.0,92
2015-01-28,Madrid,11.830000000000041,1022,96,3,0.0,0.0,0.0,22
2015-01-28,Seville,16.355000000000018,1034,93,2,0.0,0.0,0.0,0
2015-01-28,Valencia,16.0,1023,81,9,0.0,0.0,0.0,8
2015-01-29,Barcelona,15.610000000000014,1016,84,8,12.0,0.0,0.0,80
2015-01-29,Bilbao,11.470656250000047,1019,95,6,0.9,0.0,0.0,92
2015-01-29,Madrid,11.605000000000018,1022,97,7,0.0,0.0,0.0,92
2015-01-29,Seville,16.20300000000003,1029,94,5,0.0,0.0,0.0,92
2015-01-29,Valencia,16.200000000000045,1019,88,30,0.0,0.0,0.0,64
2015-01-30,Barcelona,16.29000000000002,990,71,9,12.0,0.0,0.0,92
2015-01-30,Bilbao,10.459343750000016,1000,96,6,3.0,0.0,0.0,92
2015-01-30,Madrid,14.085000000000036,969,95,9,0.3,0.0,0.0,92
2015-01-30,Seville,16.585000000000036,1025,94,9,0.3,0.0,0.0,92
2015-01-30,Valencia,17.92950000000002,998,75,64,0.0,0.0,0.0,8
2015-01-31,Barcelona,14.700000000000045,995,82,6,0.3,0.0,0.0,92
2015-01-31,Bilbao,8.22331250000002,1004,97,6,3.0,0.0,0.0,92
2015-01-31,Madrid,10.579000000000121,1007,95,9,0.9,0.0,0.0,92
2015-01-31,Seville,15.17900000000003,1023,92,10,0.3,0.0,0.0,92
2015-01-31,Valencia,15.700000000000045,1002,87,20,0.0,0.0,0.0,12
2015-02-01,Barcelona,12.420000000000016,1004,55,6,0.3,0.0,0.0,58
2015-02-01,Bilbao,4.1923437500000205,1013,96,5,3.0,0.0,0.75,92
2015-02-01,Madrid,8.616000000000042,985,74,8,0.9,0.0,0.0,64
2015-02-01,Seville,14.091000000000008,1029,88,4,0.3,0.0,0.0,44
2015-02-01,Valencia,11.100000000000023,1014,60,17,0.0,0.0,0.0,12
2015-02-02,Barcelona,12.0,1009,61,6,12.0,0.0,0.0,42
2015-02-02,Bilbao,6.902687500000013,1012,97,2,3.0,0.0,0.75,92
2015-02-02,Madrid,6.449000000000012,1017,100,7,0.9,0.0,0.0,92
2015-02-02,Seville,14.349000000000046,1027,92,8,0.0,0.0,0.0,92
2015-02-02,Valencia,10.400000000000034,1014,72,19,0.0,0.0,0.0,92
2015-02-03,Barcelona,10.529656250000016,1000,91,6,12.0,0.0,0.0,92
2015-02-03,Bilbao,4.763656249999997,1005,99,4,3.0,0.0,7.25,92
2015-02-03,Madrid,7.855000000000018,1006,98,7,0.9,0.0,0.0,92
2015-02-03,Seville,14.123000000000047,1021,96,6,0.0,0.0,0.0,92
2015-02-03,Valencia,12.700000000000045,1002,77,16,0.0,0.0,0.0,76
2015-02-04,Barcelona,7.210000000000036,996,78,8,12.0,0.0,0.0,92
2015-02-04,Bilbao,2.1053437500000314,1016,98,4,3.0,0.0,21.5,92
2015-02-04,Madrid,4.017000000000053,950,98,8,0.3,0.0,0.0,76
2015-02-04,Seville,11.240000000000009,1024,80,8,0.0,0.0,0.0,88
2015-02-04,Valencia,8.0,1004,83,25,0.3,0.0,1.125,92
2015-02-05,Barcelona,11.510000000000048,1003,90,5,0.3,0.0,0.0,92
2015-02-05,Bilbao,2.3166875000000005,1019,97,4,0.9,0.0,21.5,92
2015-02-05,Madrid,4.552999999999997,986,81,8,0.0,0.0,0.0,92
2015-02-05,Seville,11.802999999999997,1029,71,5,0.0,0.0,0.0,50
2015-02-05,Valencia,9.600000000000023,1011,51,24,0.0,0.0,0.05,48
2015-02-06,Barcelona,10.100000000000023,1009,52,6,0.0,0.0,0.0,88
2015-02-06,Bilbao,1.3166875000000005,1018,97,1,0.9,0.0,15.875,92
2015-02-06,Madrid,5.442000000000007,995,82,6,0.0,0.0,0.0,76
2015-02-06,Seville,11.621000000000038,1027,87,2,0.0,0.0,0.0,64
2015-02-06,Valencia,8.200000000000045,1013,57,20,0.0,0.0,0.0,20
2015-02-07,Barcelona,9.100000000000023,1020,50,3,0.3,0.0,0.0,76
2015-02-07,Bilbao,2.433687500000019,1028,97,1,0.3,0.0,8.5,90
2015-02-07,Madrid,6.432000000000016,991,79,3,0.0,0.0,0.0,80
2015-02-07,Seville,11.182000000000016,1026,96,4,0.3,0.0,0.0,64
2015-02-07,Valencia,8.400000000000034,1023,82,6,0.0,0.0,0.0,92
2015-02-08,Barcelona,10.010000000000048,1020,68,5,0.3,0.0,0.0,88
2015-02-08,Bilbao,4.57000000000005,1031,98,2,0.3,0.0,1.5,90
2015-02-08,Madrid,8.466000000000008,994,87,4,0.0,0.0,0.0,0
2015-02-08,Seville,12.665999999999997,1029,95,5,0.0,0.0,0.0,80
2015-02-08,Valencia,14.100000000000023,1023,89,14,0.0,0.0,0.0,0
2015-02-09,Barcelona,13.110000000000014,1025,64,6,12.0,0.0,0.0,0
2015-02-09,Bilbao,5.862343750000036,1031,96,2,0.3,0.0,0.25,89
2015-02-09,Madrid,10.600000000000023,983,79,5,0.0,0.0,0.0,68
2015-02-09,Seville,16.55200000000002,1027,87,5,0.0,0.0,0.0,20
2015-02-09,Valencia,9.800000000000011,1027,82,17,0.3,0.0,0.0,92
2015-02-10,Barcelona,13.210000000000036,1023,78,5,0.0,0.0,0.0,0
2015-02-10,Bilbao,8.632656250000025,1028,97,1,0.0,0.0,0.0,0
2015-02-10,Madrid,9.600000000000023,960,85,5,0.0,0.0,0.0,92
2015-02-10,Seville,11.986000000000047,1026,97,5,0.3,0.0,0.0,92
2015-02-10,Valencia,10.200000000000045,1027,92,8,0.3,0.0,0.0,92
2015-02-11,Barcelona,15.700000000000045,1021,82,4,0.0,0.0,0.0,36
2015-02-11,Bilbao,9.714000000000112,1022,98,1,0.0,0.0,0.0,40
2015-02-11,Madrid,10.384000000000015,960,93,4,0.3,0.0,0.0,92
2015-02-11,Seville,16.311000000000035,1026,100,3,0.9,0.0,0.0,92
2015-02-11,Valencia,9.100000000000023,1023,95,6,0.3,0.0,0.0,92
2015-02-12,Barcelona,14.700000000000045,1018,88,3,0.0,0.0,0.0,80
2015-02-12,Bilbao,10.098000000000013,1019,98,2,0.0,0.0,0.0,42
2015-02-12,Madrid,11.900000000000034,958,88,2,0.0,0.0,0.0,76
2015-02-12,Seville,15.168000000000006,1029,100,2,0.9,0.0,0.0,92
2015-02-12,Valencia,9.100000000000023,1023,94,3,0.9,0.0,0.0,92
2015-02-13,Barcelona,15.700000000000045,1018,82,7,0.0,0.0,0.0,92
2015-02-13,Bilbao,9.854656250000005,1019,96,3,0.3,0.0,0.0,92
2015-02-13,Madrid,13.100000000000023,981,95,6,0.0,0.0,0.0,92
2015-02-13,Seville,16.119000000000028,1033,99,3,0.0,0.0,0.0,88
2015-02-13,Valencia,15.300000000000011,1022,93,12,3.0,0.0,0.0,20
2015-02-14,Barcelona,15.100000000000023,1013,74,7,0.0,0.0,0.0,56
2015-02-14,Bilbao,7.909656250000012,1017,96,2,0.9,0.0,0.0,92
2015-02-14,Madrid,14.100000000000023,938,98,6,0.3,0.0,0.0,92
2015-02-14,Seville,16.110000000000014,1033,100,7,0.3,0.0,0.0,92
2015-02-14,Valencia,14.900000000000034,1017,73,22,0.0,0.0,0.0,80
2015-02-15,Barcelona,13.700000000000045,1011,81,6,0.0,0.0,0.0,80
2015-02-15,Bilbao,9.849343750000003,1017,98,2,3.0,0.0,0.0,92
2015-02-15,Madrid,12.691000000000031,1018,98,6,0.9,0.0,0.0,92
2015-02-15,Seville,16.591000000000008,1028,95,7,0.3,0.0,0.0,92
2015-02-15,Valencia,18.700000000000045,1013,74,17,0.0,0.0,0.0,80
2015-02-16,Barcelona,12.5,1015,82,3,0.0,0.0,0.0,76
2015-02-16,Bilbao,8.79400000000004,1023,98,4,3.0,0.0,0.0,92
2015-02-16,Madrid,15.300000000000011,1019,95,4,0.3,0.0,0.0,92
2015-02-16,Seville,16.396000000000015,1029,91,4,0.3,0.0,0.0,88
2015-02-16,Valencia,18.200000000000045,1018,91,19,0.0,0.0,0.0,92
2015-02-17,Barcelona,13.138343750000047,1026,60,10,0.0,0.0,0.0,92
2015-02-17,Bilbao,6.433343750000006,1038,94,4,3.0,0.0,0.0,92
2015-02-17,Madrid,12.300000000000011,1028,95,9,0.9,0.0,0.0,92
2015-02-17,Seville,13.888343750000047,1033,91,12,0.3,0.0,0.0,53
2015-02-17,Valencia,12.176000000000045,1029,95,8,0.3,0.0,0.0,92
2015-02-18,Barcelona,15.510000000000048,1035,100,7,0.0,0.0,0.0,32
2015-02-18,Bilbao,5.984000000000037,1037,94,2,0.9,0.0,0.0,92
2015-02-18,Madrid,11.400000000000034,990,86,6,0.0,0.0,0.0,76
2015-02-18,Seville,17.512000000000114,1033,70,8,0.0,0.0,0.0,48
2015-02-18,Valencia,12.400000000000034,1032,71,14,0.3,0.0,0.0,92
2015-02-19,Barcelona,13.310000000000002,1031,100,4,0.0,0.0,0.0,44
2015-02-19,Bilbao,10.366000000000042,1034,98,1,0.0,0.0,0.0,84
2015-02-19,Madrid,14.5,1021,86,2,0.0,0.0,0.0,24
2015-02-19,Seville,16.746000000000038,1034,80,5,0.0,0.0,0.0,0
2015-02-19,Valencia,10.200000000000045,1032,79,8,0.3,0.0,0.0,92
2015-02-20,Barcelona,13.810000000000002,102153,100,9,12.0,0.0,0.0,56
2015-02-20,Bilbao,8.307000000000016,1027,93,2,0.9,0.0,0.0,92
2015-02-20,Madrid,13.400000000000034,986,88,2,0.0,0.0,0.0,76
2015-02-20,Seville,16.047000000000025,1031,88,3,0.0,0.0,0.0,76
2015-02-20,Valencia,15.700000000000045,1032,92,14,0.0,0.0,0.0,56
2015-02-21,Barcelona,11.300000000000011,1008371,100,9,12.0,0.0,0.0,92
2015-02-21,Bilbao,6.7135000000000105,1013,98,4,3.0,0.0,0.0,92
2015-02-21,Madrid,12.78000000000003,932,100,7,0.3,0.0,0.0,92
2015-02-21,Seville,16.32000000000005,1023,97,5,0.3,0.0,0.0,92
2015-02-21,Valencia,15.300000000000011,1014,92,22,0.0,0.0,0.0,80
2015-02-22,Barcelona,13.400000000000034,1002881,94,8,12.0,0.0,0.0,20
2015-02-22,Bilbao,9.714312500000005,1016,95,4,3.0,0.0,0.0,92
2015-02-22,Madrid,15.020000000000039,1009,85,5,0.0,0.0,0.0,80
2015-02-22,Seville,16.461000000000013,1028,87,4,0.0,0.0,0.0,0
2015-02-22,Valencia,15.900000000000034,1014,65,22,0.0,0.0,0.0,12
2015-02-23,Barcelona,14.210000000000036,1007,79,4,0.9,0.0,0.0,92
2015-02-23,Bilbao,9.898687500000051,1014,97,4,0.9,0.0,0.0,92
2015-02-23,Madrid,14.430000000000007,1009,92,7,0.0,0.0,0.0,88
2015-02-23,Seville,16.79400000000004,1032,94,5,0.0,0.0,0.0,92
2015-02-23,Valencia,16.80000000000001,1014,66,43,0.0,0.0,0.0,88
2015-02-24,Barcelona,15.610000000000014,1017,88,13,0.9,0.0,0.0,92
2015-02-24,Bilbao,6.190500000000043,1026,97,4,3.0,0.0,0.0,92
2015-02-24,Madrid,12.28000000000003,985,68,7,0.0,0.0,0.0,80
2015-02-24,Seville,16.31400000000002,1039,88,5,0.0,0.0,0.0,12
2015-02-24,Valencia,14.200000000000045,1023,62,25,0.0,0.0,0.0,48
2015-02-25,Barcelona,15.073000000000036,1021,92,8,0.0,0.0,0.0,88
2015-02-25,Bilbao,10.048000000000002,1027,97,5,3.0,0.0,0.0,92
2015-02-25,Madrid,13.18100000000004,997,80,6,0.0,0.0,0.0,92
2015-02-25,Seville,17.105999999999995,1040,86,3,0.0,0.0,0.0,0
2015-02-25,Valencia,17.156000000000006,1023,52,16,0.0,0.0,0.0,76
2015-02-26,Barcelona,13.79600000000005,1022,100,4,0.0,0.0,0.0,92
2015-02-26,Bilbao,10.156000000000006,1027,98,4,3.0,0.0,0.0,92
2015-02-26,Madrid,15.438000000000045,965,77,4,0.0,0.0,0.0,92
2015-02-26,Seville,21.122000000000014,1037,88,4,0.0,0.0,0.0,0
2015-02-26,Valencia,19.821000000000026,1004,62,7,0.0,0.0,0.0,92
2015-02-27,Barcelona,13.061000000000035,1021,95,4,0.9,0.0,0.0,90
2015-02-27,Bilbao,8.805000000000007,1027,97,4,3.0,0.0,0.0,92
2015-02-27,Madrid,11.827656250000018,1025,90,5,0.0,0.0,0.0,38
2015-02-27,Seville,19.361000000000047,1029,93,3,0.0,0.0,0.0,13
2015-02-27,Valencia,14.763656249999997,1022,68,7,0.0,0.0,0.0,92
2015-02-28,Barcelona,11.700000000000045,1024,100,4,0.0,0.0,0.0,88
2015-02-28,Bilbao,10.961656250000033,1026,97,1,0.9,0.0,0.0,92
2015-02-28,Madrid,16.0,963,89,4,0.0,0.0,0.0,64
2015-02-28,Seville,19.723000000000013,1033,87,3,0.0,0.0,0.0,68
2015-02-28,Valencia,18.91300000000001,1021,77,4,0.0,0.0,0.0,68
2015-03-01,Barcelona,16.600000000000023,1020,90,3,0.0,0.0,0.0,92
2015-03-01,Bilbao,13.502343750000023,1021,99,1,0.9,0.0,0.0,92
2015-03-01,Madrid,16.668000000000006,1024,92,4,0.0,0.0,0.0,36
2015-03-01,Seville,19.58000000000004,1034,90,2,0.0,0.0,0.0,0
2015-03-01,Valencia,22.569000000000017,1022,63,17,0.0,0.0,0.0,36
2015-03-02,Barcelona,18.200000000000045,1021,83,5,0.0,0.0,0.0,76
2015-03-02,Bilbao,11.947000000000003,1025,99,1,0.9,0.0,0.0,92
2015-03-02,Madrid,20.620000000000005,1018,95,3,0.0,0.0,0.0,92
2015-03-02,Seville,22.947000000000003,1033,91,3,0.0,0.0,0.0,0
2015-03-02,Valencia,22.422500000000014,1022,61,6,0.0,0.0,0.0,80
2015-03-03,Barcelona,16.400000000000034,1023,90,4,0.0,0.0,0.0,56
2015-03-03,Bilbao,10.250343750000013,1029,99,1,0.9,0.0,0.0,92
2015-03-03,Madrid,18.410000000000025,1018,97,2,0.0,0.0,0.0,92
2015-03-03,Seville,23.177999999999997,1032,94,3,0.0,0.0,0.0,8
2015-03-03,Valencia,18.900000000000034,1023,69,3,0.0,0.0,0.0,88
2015-03-04,Barcelona,13.710000000000036,1028,93,6,3.0,0.0,0.0,92
2015-03-04,Bilbao,7.6825000000000045,1039,99,2,0.9,0.0,0.0,92
2015-03-04,Madrid,15.29000000000002,1035,100,9,0.0,0.0,0.0,20
2015-03-04,Seville,23.439999999999998,1032,100,5,0.0,0.0,0.0,90
2015-03-04,Valencia,18.200000000000045,1032,93,12,0.0,0.0,0.0,90
2015-03-05,Barcelona,18.760000000000048,1029,60,9,12.0,0.0,0.0,20
2015-03-05,Bilbao,8.30334375000001,1040,90,2,0.9,0.1,0.0,92
2015-03-05,Madrid,14.79000000000002,1035,80,7,0.0,0.0,0.0,0
2015-03-05,Seville,20.08000000000004,1030,64,12,0.0,0.0,0.0,0
2015-03-05,Valencia,19.060000000000002,1033,49,7,0.0,0.0,0.0,0
2015-03-06,Barcelona,14.650000000000034,1032,78,6,12.0,0.0,0.0,10
2015-03-06,Bilbao,13.088343750000035,1038,96,1,0.0,0.0,0.0,0
2015-03-06,Madrid,18.03000000000003,1031,75,3,0.0,0.0,0.0,0
2015-03-06,Seville,21.99000000000001,1028,48,8,0.0,0.0,0.0,0
2015-03-06,Valencia,15.688000000000045,1032,75,5,0.0,0.0,0.0,0
2015-03-07,Barcelona,16.680000000000007,1031,87,6,0.0,0.0,0.0,34
2015-03-07,Bilbao,17.774343750000014,1030,96,1,0.0,0.0,0.0,13
2015-03-07,Madrid,21.120000000000005,1031,81,2,0.0,0.0,0.0,0
2015-03-07,Seville,22.650000000000034,1028,73,4,0.0,0.0,0.0,0
2015-03-07,Valencia,21.84400000000005,1031,86,4,0.0,0.0,0.0,0
2015-03-08,Barcelona,15.670000000000016,1026,87,4,0.0,0.0,0.0,32
2015-03-08,Bilbao,16.050343750000025,1028,96,1,0.0,0.0,0.0,0
2015-03-08,Madrid,22.110000000000014,1026,77,3,0.0,0.0,0.0,5
2015-03-08,Seville,24.350000000000023,1024,70,3,0.0,0.0,0.0,4
2015-03-08,Valencia,14.970000000000027,1026,90,2,0.0,0.0,0.0,75
2015-03-09,Barcelona,17.49000000000001,1025,87,6,0.0,0.0,0.0,52
