date,city_name,temp min,temp max,temp mean,pressure min,pressure max,pressure mean,humidity min,humidity max,humidity mean,wind_speed min,wind_speed max,wind_speed mean,rain_1h min,rain_1h max,rain_1h mean,rain_3h min,rain_3h max,rain_3h mean,snow_3h min,snow_3h max,snow_3h mean,clouds_all min,clouds_all max,clouds_all mean
2015-01-05,Valencia,273.553,288.058,278.74052083333333,997,1028,1004.25,63,91,80.83333333333333,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-06,Barcelona,282.54,287.86,284.8354166666667,1021,1024,1021.7083333333334,52,85,72.79166666666667,0,6,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,88,39.25
2015-01-06,Bilbao,271.88934375,281.98034375,276.14125260416665,1026,1029,1027.3333333333333,77,98,91.29166666666667,0,1,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,69,37.291666666666664
2015-01-06,Madrid,267.925,279.599,272.1761875,964,966,964.8333333333334,65,92,77.45833333333333,0,1,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,31.666666666666668
2015-01-06,Seville,276.766,284.524,280.71425,1031,1036,1034.6666666666667,86,97,93.125,1,3,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,63.083333333333336
2015-01-06,Valencia,272.325,287.124,277.91083375,994,1011,995.84,64,96,84.76,0,1,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,17.2
2015-01-07,Barcelona,282.75,286.45,284.2673541666667,1025,1030,1027.2916666666667,60,88,76.91666666666667,0,3,1.1666666666666667,0.0,0.3,0.11249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,88,42.833333333333336
2015-01-07,Bilbao,273.088,283.245,276.55945963541666,1029,1032,1030.625,65,97,87.04166666666667,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,8.208333333333334
2015-01-07,Madrid,267.212,282.42,272.49337890625003,965,1031,987.2083333333334,63,87,71.91666666666667,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0.6666666666666666
2015-01-07,Seville,275.712,284.85334375,279.37722526041665,1028,1038,1033.5833333333333,71,94,85.25,1,3,2.4583333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76,17.625
2015-01-07,Valencia,277.45,284.5446875,280.368890625,997,1033,1016.0833333333334,72,99,88.625,1,2,1.2083333333333333,0.0,0.3,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,8,92,47.291666666666664
2015-01-08,Barcelona,282.54,288.85,284.89361328125,1029,1037,1032.25,46,89,71.625,0,3,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-08,Bilbao,271.523,282.572,276.24611328125,1032,1042,1036.5416666666667,65,97,84.75,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76,34.458333333333336
2015-01-08,Madrid,266.774,283.599,272.5360729166667,971,1017,976.875,64,85,68.83333333333333,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,3.6666666666666665
2015-01-08,Seville,276.524,287.22665625,280.67721875,1036,1046,1041.125,74,93,86.66666666666667,3,5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-08,Valencia,275.15,289.05,280.786375,1033,1040,1036.25,46,96,79.79166666666667,1,6,1.7916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68,8.75
2015-01-09,Barcelona,280.95,287.27,284.32896614583336,1034,1039,1036.2916666666667,41,72,58.125,1,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.4583333333333333
2015-01-09,Bilbao,272.66834375,285.5656875,278.17291796875,1040,1042,1041.2083333333333,60,97,82.54166666666667,0,1,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,19.375
2015-01-09,Madrid,269.16200000000003,285.1625,274.6685911458333,978,1042,991.4583333333334,54,96,71.04166666666667,0,1,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-09,Seville,277.612,288.225,281.7998072916667,1040,1048,1045.375,71,93,85.91666666666667,3,4,3.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-09,Valencia,275.7093125,290.95,281.60479557291666,1039,1042,1040.375,37,83,65.75,1,6,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-10,Barcelona,281.45,290.36,285.29456901041664,1023,1038,1028.6666666666667,39,77,65.375,1,3,2.0416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-10,Bilbao,275.663,286.599,279.62228645833335,1031,1039,1034.625,60,93,79.91666666666667,0,2,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-10,Madrid,268.028,285.302,274.1452395833333,970,1042,984.1666666666666,64,96,74.29166666666667,0,2,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-10,Seville,277.728,289.052,281.7780859375,1032,1047,1040.4166666666667,67,91,85.08333333333333,1,4,2.2083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1.25
2015-01-10,Valencia,275.14265625,294.85,286.9811315104167,1027,1039,1032.2083333333333,25,85,42.75,1,17,5.208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-11,Barcelona,284.35,291.25,287.30513932291666,1022,1030,1024.7083333333333,47,85,72.04166666666667,1,3,1.4583333333333333,0.0,0.3,0.012499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,64,7.916666666666667
2015-01-11,Bilbao,272.51965625,281.672,277.88820182291664,1031,1036,1033.75,88,99,93.66666666666667,1,1,1.0,0.0,0.9,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,92,45.916666666666664
2015-01-11,Madrid,267.945,286.409,274.8043828125,968,1001,971.375,62,86,73.33333333333333,0,4,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68,12.916666666666666
2015-01-11,Seville,276.11400000000003,291.209,283.01618098958335,1033,1039,1037.1666666666667,60,90,77.04166666666667,1,4,2.2916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64,14.666666666666666
2015-01-11,Valencia,279.95,293.95,286.55693098958335,1025,1033,1027.625,24,79,44.458333333333336,1,22,6.291666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,1.75
2015-01-12,Barcelona,280.77,288.75,285.6770833333333,1025,1030,1027.5416666666667,43,85,61.791666666666664,1,6,2.7916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64,5.333333333333333
2015-01-12,Bilbao,269.54765625,284.072,276.495421875,1024,1034,1028.8333333333333,66,99,84.41666666666667,0,3,1.4166666666666667,0.0,0.9,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.9166666666666666
2015-01-12,Madrid,268.906,285.303,275.4099166666667,967,998,971.0833333333334,69,88,75.79166666666667,1,2,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,12.166666666666666
2015-01-12,Seville,278.331,291.053,283.0372291666667,1035,1038,1036.7916666666667,61,97,81.79166666666667,1,3,1.5833333333333333,0.0,0.3,0.012499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8,92,65.91666666666667
2015-01-12,Valencia,278.25,289.65,282.9791666666667,1030,1035,1032.375,60,94,82.875,1,4,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,46.5
2015-01-13,Barcelona,285.55,288.95,287.16833333333335,1018,1025,1021.0833333333334,55,82,72.54166666666667,2,7,3.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,44.166666666666664
2015-01-13,Bilbao,281.782,286.07934375,283.89181770833335,1019,1023,1020.75,54,82,62.833333333333336,1,4,2.7916666666666665,0.0,0.3,0.024999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0,84,31.583333333333332
2015-01-13,Madrid,269.41900000000004,285.597,275.80850000000004,963,967,964.875,66,91,74.66666666666667,0,3,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,14.0
2015-01-13,Seville,277.594,289.447,282.5095416666667,1031,1035,1033.2916666666667,67,89,82.04166666666667,1,3,1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76,18.5
2015-01-13,Valencia,277.15,292.35,284.67083333333335,1022,1029,1025.2083333333333,36,90,60.875,1,25,4.458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,27.0
2015-01-14,Barcelona,283.45,289.56,286.21125,1018,1023,1020.4583333333334,47,82,66.125,1,5,1.9583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,9.0
2015-01-14,Bilbao,276.84965625,284.0593125,280.949,1017,1025,1022.0,52,89,70.58333333333333,0,5,1.7083333333333333,0.0,0.3,0.08750000000000001,0.0,0.1,0.012500000000000002,0.0,0.0,0.0,0,58,16.458333333333332
2015-01-14,Madrid,271.961,282.889,276.49258333333336,963,965,964.25,80,92,85.75,1,2,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92,55.166666666666664
2015-01-14,Seville,278.105,291.1140000000001,283.07983333333334,1031,1034,1032.375,71,88,81.66666666666667,1,3,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64,24.333333333333332
2015-01-14,Valencia,279.75,291.95,286.18333333333334,1023,1026,1024.0833333333333,37,84,54.916666666666664,0,12,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,3.0
2015-01-15,Barcelona,285.35,289.25,286.81220052083336,1010,1020,1013.875,47,91,71.375,1,6,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,2.4583333333333335
2015-01-15,Bilbao,281.12134375,285.00034375,283.58305729166665,1006,1016,1010.3333333333334,47,94,60.25,1,5,4.25,0.0,0.9,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,5,92,72.20833333333333
2015-01-15,Madrid,271.961,283.182,277.9171393229167,954,1012,969.4166666666666,76,100,86.91666666666667,1,7,2.75,0.0,0.9,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,12,92,60.666666666666664
2015-01-15,Seville,277.501,289.893,284.0834375,1015,1031,1025.9166666666667,72,89,81.54166666666667,1,7,3.9166666666666665,0.0,0.9,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0,92,40.083333333333336
2015-01-15,Valencia,279.05,291.95,285.54366015625004,1012,1024,1017.5833333333334,36,78,56.333333333333336,1,20,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,7.291666666666667
2015-01-16,Barcelona,281.75,290.35,286.7809440104167,1003,1011,1005.875,48,90,72.16666666666667,1,5,2.375,0.0,0.3,0.012499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,92,37.416666666666664
2015-01-16,Bilbao,277.49334375,280.6826875,278.3990703125,1006,1019,1011.6666666666666,89,96,93.41666666666667,0,3,1.2916666666666667,0.3,3.0,1.1875,0.0,0.0,0.0,0.0,0.0,0.0,72,92,84.91666666666667
2015-01-16,Madrid,273.763,281.19934375,278.3238059895833,948,1009,955.0,74,99,89.33333333333333,2,7,3.7083333333333335,0.0,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,92,38.666666666666664
2015-01-16,Seville,279.538,286.4576875,283.08002864583335,1014,1030,1025.5,83,99,91.875,2,7,3.75,0.0,0.9,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0,92,39.75
2015-01-16,Valencia,280.65,287.05,284.5834869791667,1008,1018,1012.25,37,68,53.75,3,30,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76,27.5
2015-01-17,Barcelona,280.05,287.56,283.1075,1011,1017,1015.0833333333334,41,70,57.541666666666664,1,5,1.7083333333333333,0.0,0.3,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,44,12.5
2015-01-17,Bilbao,276.097,279.4016875,277.7236015625,1017,1022,1020.625,83,94,89.0,1,2,1.375,0.3,3.0,0.41250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,38,92,73.08333333333333
2015-01-17,Madrid,267.313,280.558,272.898125,959,963,960.9583333333334,66,93,79.0,1,3,1.7916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,5.333333333333333
2015-01-17,Seville,273.688,284.808,278.78225000000003,1031,1035,1032.5416666666667,77,95,86.875,1,3,1.7083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,8.0
2015-01-17,Valencia,278.05,286.75,281.27916666666664,1019,1022,1020.5,33,69,51.416666666666664,1,12,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2015-01-18,Barcelona,278.75,286.45,282.70375,1007,1017,1011.7916666666666,39,76,51.916666666666664,1,5,2.75,0.0,0.3,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,92,39.166666666666664
2015-01-18,Bilbao,276.4645,281.97,278.66944270833335,1006,1017,1010.0833333333334,62,98,76.79166666666667,1,3,2.25,0.0,3.0,0.4875,0.0,0.0,0.0,0.0,0.0,0.0,18,92,59.583333333333336
2015-01-18,Madrid,271.485,276.31,274.70320833333335,945,958,951.5416666666666,85,100,95.125,1,4,2.625,0.0,0.3,0.17500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,48,92,83.5
2015-01-18,Seville,278.96,284.856,282.85556249999996,1015,1029,1019.6666666666666,84,99,95.70833333333333,3,10,5.708333333333333,0.0,0.9,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,76,92,90.66666666666667
2015-01-18,Valencia,276.55,284.25,279.99375000000003,1009,1021,1015.2083333333334,45,91,58.875,1,9,3.3333333333333335,0.0,0.3,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,92,60.333333333333336
2015-01-19,Barcelona,281.35,286.05,283.1135,1004,1008,1005.875,6,93,80.75,1,6,3.375,0.0,3.0,0.7625000000000001,0.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0
2015-01-19,Bilbao,276.3783125,278.3886875,277.3830481770833,1008,1014,1012.625,74,98,87.95833333333333,1,4,2.3333333333333335,0.9,3.0,0.9874999999999999,0.0,0.0,0.0,0.0,0.0,0.0,90,92,91.83333333333333
2015-01-19,Madrid,269.671,278.82,275.50051041666666,943,1015,963.1666666666666,69,98,84.45833333333333,1,8,4.666666666666667,0.0,0.3,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0,92,43.75
2015-01-19,Seville,276.1085,284.095,281.52351171875,1012,1024,1016.375,57,96,79.41666666666667,2,8,6.25,0.0,0.3,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0,20,3.3333333333333335
2015-01-19,Valencia,276.2,281.748,279.1217278645833,1005,1011,1007.75,54,95,82.83333333333333,1,9,2.6666666666666665,0.0,0.3,0.17500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,20,92,81.29166666666667
2015-01-20,Barcelona,280.35,285.05,282.14145833333333,1004,1006,1004.7916666666666,30,73,50.875,1,3,1.5,0.0,0.3,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,92,53.666666666666664
2015-01-20,Bilbao,274.48334375,278.1883125,275.97616666666664,1009,1013,1010.375,96,97,96.45833333333333,1,2,1.0416666666666667,0.0,0.9,0.4875,0.0,0.1,0.012500000000000002,0.0,0.625,0.4322916666666667,88,92,90.08333333333333
2015-01-20,Madrid,268.51,279.868,273.620875,947,981,950.5833333333334,69,91,81.625,1,3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,88,56.0
2015-01-20,Seville,272.935,282.2990000000001,277.58914583333336,1016,1024,1020.0416666666666,84,100,93.125,1,3,1.625,0.0,0.9,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0,92,54.583333333333336
2015-01-20,Valencia,274.85,283.05,277.94166666666666,1008,1011,1009.5416666666666,43,81,65.375,1,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,76,52.416666666666664
2015-01-21,Barcelona,279.25,284.86,281.3183333333333,1001,1010,1003.2083333333334,42,100,57.583333333333336,1,4,2.0416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,88,75.83333333333333
2015-01-21,Bilbao,277.10400000000004,278.5616875,277.66961848958334,1006,1010,1007.25,92,97,94.33333333333333,2,3,2.375,0.3,3.0,1.45,0.0,0.0,0.0,0.0,0.5,0.020833333333333332,82,92,89.33333333333333
2015-01-21,Madrid,268.572,280.318,273.9354375,948,983,953.7083333333334,72,90,81.79166666666667,1,6,3.3333333333333335,0.0,0.3,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0,92,39.083333333333336
2015-01-21,Seville,272.333,285.563,279.01395833333333,1017,1026,1022.2916666666666,77,98,88.20833333333333,1,7,3.2916666666666665,0.0,0.9,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0,92,9.583333333333334
2015-01-21,Valencia,273.574,283.7920000000001,279.23120703125,1006,1010,1008.5,49,84,66.54166666666667,1,14,6.958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,88,42.291666666666664
